;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;6.0;53.7282133;86.8525141;214.0;3.5116669655106283;-7.147937097973567;0.3101623791279014;;78.0;0.0;181.675;-0.1468338941572346;-1.0196798205363515;-0.0632201488732537;Груженный движется вперед;95;7530G;240;1269.0;58.0;74.5;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;0.2018611111111111;7.4;3.7;10.3;8.8;4.033502324547551;2.9554202823981637;1;7.975;5.5;9.8;9.8;point_30%;1;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
1;5.0;7.0;53.728221;86.852445;215.0;5.464233875064118;-5.557803311426651;0.556888832750906;;78.0;4.630915656096123;83.65;-0.1070663811563169;-0.974813908432752;-0.0938105434893443;Груженный движется вперед;95;7530G;240;1368.0;27.0;28.5;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;0.2948055555555556;6.4;4.9;9.8;8.9;3.6493380844415397;2.936919273623789;1;7.975;5.5;9.8;9.8;point_30%;1;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
2;15.0;8.0;53.7282406;86.8522854;215.0;1.770497954398639;-4.253446663314009;0.8083392979944739;;78.0;10.735247338040567;149.47500000000002;-0.0774956663607627;-1.0196798205363515;-0.0316100744366268;Груженный движется вперед;95;7530G;240;1201.0;51.0;72.5;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;0.4608888888888889;8.2;5.0;8.8;10.8;3.304251967916645;2.566127961524751;1;7.975;5.5;9.8;9.8;point_30%;1;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
3;23.0;7.0;53.7282761;86.8521929;216.0;3.00708645660833;-3.212460191783781;1.0680013473116952;;78.4;7.261546230745856;286.6;-0.0520036708473539;-0.9885795860099929;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1402.5;82.0;99.0;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;0.7793333333333334;5.0;5.7;10.0;9.1;2.997353558131799;2.507017600352273;1;5.5;5.5;9.8;9.8;-;0;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
4;31.0;8.0;53.7283227;86.8520859;217.0;4.084005972990748;-2.412436934984105;1.339362553155659;;78.0;8.750459012085333;195.15;-0.0423167125522585;-0.991638625471602;-0.0708677475272764;Груженный движется вперед;95;7530G;240;1426.0;57.0;61.75;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;1.1045833333333337;5.2;5.9;10.1;10.5;2.7277524382459353;2.090311498106474;1;5.5;5.5;9.8;9.8;-;0;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
5;41.0;6.0;53.7284008;86.8520104;215.0;2.2832858682327846;-1.830969931063124;1.6259104879794557;;77.2;10.015669761975683;132.4;-0.0163148771285816;-0.9972468644845518;-0.0397675130009177;Груженный движется вперед;95;7530G;240;1123.0;48.0;73.0;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;1.4355833333333334;5.2;5.6;9.7;8.6;2.494558191417987;2.297539134562517;1;5.5;5.5;9.8;9.8;-;0;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
6;63.0;10.0;53.728544;86.8517952;219.0;1.3619869880270306;-1.4456522181689762;1.9311327242361744;;77.6;21.330569330969677;63.125;0.0275313551544814;-0.986030386458652;-0.023452635872336;Груженный движется вперед;95;7530G;240;974.0;27.0;44.5;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;1.5057222222222224;6.7;5.9;5.1;13.9;2.2968804008068853;2.4026214962595187;1;5.5;5.5;9.8;14.21;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
7;72.0;6.0;53.7285978;86.8516954;219.0;2.158889668137084;-1.2340768344498034;2.2585168343789053;;77.6;8.89212701719275;125.725;0.0438462322830631;-0.9727745487916796;-0.0367084735393086;Груженный движется вперед;95;7530G;240;965.0;51.0;100.0;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;1.6454166666666667;7.9;5.9;5.0;14.5;2.133828649571565;2.5683490930956054;1;7.975;5.5;9.8;14.21;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
8;77.0;4.0;53.7286261;86.8516213;216.0;4.488876441489123;-1.1738368180537453;2.611550390860738;;77.2;5.8086837128494535;159.425;-0.0122361578464362;-0.9870500662791885;-0.0774956663607627;Груженный движется вперед;95;7530G;240;1250.5;53.0;71.0;784.0;27.0;780.0;28.0;856.0;42.0;868.0;38.0;20.0;43.0;860.0;45.0;1.866840277777778;5.0;5.1;8.7;12.1;2.004512520870958;2.802473948566222;1;5.5;5.5;9.8;9.8;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
9;85.0;6.0;53.7286482;86.8515154;214.0;-0.5239712790392431;-1.2425252071289412;2.9937209661347612;;76.8;7.395648143973368;20.625;0.0152951973080452;-1.00336494340777;0.0091771183848271;Груженный движется вперед;95;7530G;240;1198.0;10.0;11.0;784.0;27.0;780.0;28.0;855.976833976834;42.00579150579151;868.0;38.0;20.0;43.0;860.0;45.0;1.8897569444444449;5.2;6.7;10.9;8.7;1.9080415978639969;-3.098421113739672;1;5.5;5.5;9.8;9.8;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
10;97.0;14.0;53.7286435;86.8513315;218.0;1.735961276013621;-1.4177350398235333;3.4085161326540656;;77.2;12.122739972757374;5.45;-0.1621290914652799;-0.9962271846640156;-0.0305903946160905;Груженный движется вперед;95;7530G;240;750.0;4.0;6.0;784.0;27.0;780.0;28.0;855.9459459459459;42.01351351351352;868.0;38.0;20.0;43.0;860.0;45.0;1.8958125;6.7;5.9;13.6;8.1;1.8435254637096148;-3.1321107840921787;1;5.5;5.5;14.21;9.8;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
11;112.0;17.0;53.7286422;86.8510998;211.0;-3.1680950942023656;-1.6770593542856576;3.8594234628717414;;78.4;15.260184699309823;26.05;-0.0622004690527174;-1.0482308555113695;0.058121749770572;Груженный движется вперед;95;7530G;240;1337.0;9.0;12.5;784.0;27.0;780.0;28.0;855.9150579150579;42.021235521235525;868.0;38.0;20.0;43.0;860.0;45.0;1.9247569444444448;10.0;7.0;10.6;12.3;1.8100737015667443;2.7843284395582515;1;9.625;5.5;9.8;9.8;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
12;131.0;12.0;53.7287024;86.8508272;212.0;1.0463617179128024;-1.9980911886634622;4.3499305292408765;;78.8;19.16311587496936;166.075;-0.1223615784643621;-0.9411644743550523;-0.0173345569491179;Груженный движется вперед;95;7530G;240;1233.0;55.0;100.0;784.0;27.0;780.0;28.0;855.8841698841699;42.02895752895753;868.0;38.0;20.0;43.0;860.0;45.0;2.109284722222222;9.6;5.0;12.5;19.1;1.8067958945943188;2.7522642781711584;1;9.625;5.5;9.8;20.09;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
13;146.0;12.0;53.7287524;86.8506212;227.0;4.5169675391561315;-2.3584235811051215;4.883524904214649;;78.8;14.664305459275434;222.35;-0.0520036708473539;-0.9666564698684612;-0.0764759865402263;Груженный движется вперед;95;7530G;240;1350.0;67.0;81.0;784.0;27.0;780.0;28.0;855.8532818532818;42.036679536679536;868.0;38.0;20.0;43.0;860.0;45.0;2.356340277777777;7.2;7.0;11.6;13.9;1.8328016259513038;2.5296100590589603;1;7.975;5.5;9.8;14.21;point_90%;2;5.5;9.8;0.0;0;0;-;0.0;0;0;0.0;0.0
