len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0.0;9.0;53.7261122;86.8448066;225.0;;72.8;0.0;91.25;-0.0499643112062812;-1.0084633425104517;0.0101967982053635;Груженный движется вперед;95;7530G;240;808.0;46.0;97.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.10138888888888889;6.7;6.3;11.8;11.8;-0.5786010238511275;-3.8871600184270743;-1.3850578198610555;-0.4668856048166338;-1.8191256291169928;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
10.0;10.0;53.7260226;86.8447682;225.0;;72.8;10.290047910871223;111.575;-0.0152951973080452;-1.0074436626899157;0.0183542367696543;Груженный движется вперед;95;7530G;240;890.0;48.0;100.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.22536111111111112;6.9;5.2;7.8;12.5;-1.0436145236578531;-3.109360936671202;-0.7279531450504243;-0.1589827796724308;-1.9666833912967663;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
21.0;10.0;53.7259354;86.8447066;227.0;;72.8;10.520968042017115;99.35;-0.0744366268991536;-0.9972468644845518;-0.0397675130009177;Груженный движется вперед;95;7530G;240;949.0;42.0;81.5;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.33575;4.8;7.3;14.0;5.8;2.277262766026331;-2.5506178534366626;-0.17030216063786718;0.15170729653488563;-2.0013182413016586;5.7;5.7;14.355;9.9;point_30%;5.7;9.9;1;0;0;0;-;0.0;0;0;0;0
35.0;11.0;53.725821;86.8446178;225.0;;72.8;14.013963123692486;127.75;-0.0866727847455898;-1.0003059039461608;0.0713775874375446;Груженный движется вперед;95;7530G;240;1005.0;50.0;100.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.5131805555555555;8.8;5.0;7.1;12.1;-4.066282085258104;-2.190615043835597;0.2962148676043539;0.4675424192665592;-2.3885757967286843;8.265;5.7;9.9;9.9;point_30%;5.7;9.9;1;0;0;0;-;0.0;0;0;0;0
50.0;9.0;53.7257254;86.8444454;222.0;;73.2;15.56250321930611;45.675;-0.0418068726419904;-1.009483022330988;0.0489446313857448;Груженный движется вперед;95;7530G;240;1299.0;16.0;26.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.5766180555555556;6.7;7.2;10.5;8.6;-2.7734297865074433;-2.0090367829801483;0.6799176739039765;0.7908803839838334;-1.926497268310479;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
59.0;9.0;53.7256566;86.8444022;220.0;;73.6;8.170352460922455;156.7;-0.0652595085143265;-0.9656367900479248;-0.0723972672580809;Груженный движется вперед;95;7530G;240;1178.0;54.0;100.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.7507291666666667;6.2;5.0;9.9;10.8;4.277927405606659;-1.9855673459824579;0.9891259924887394;1.1240789861479523;-1.8148113373373276;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
69.0;9.0;53.7255682;86.844365;227.0;;72.8;10.141235263935018;58.525;-0.0499643112062812;-0.9794024676251656;-0.0560823901294993;Груженный движется вперед;95;7530G;240;1337.0;19.0;20.5;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.8157569444444445;6.1;5.4;10.6;9.1;3.2730359997898804;-2.0998910079546667;1.2321595575863802;1.4694960212201595;-1.6071148007358609;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
81.0;11.0;53.7254591;86.8443583;223.0;;72.4;12.153176403495072;175.55;0.0214132762312633;-0.9972468644845518;-0.0336494340776996;Груженный движется вперед;95;7530G;240;1143.5;61.0;100.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];0.9620486111111112;6.1;5.8;8.5;13.1;1.9321149358815815;-2.3316920440089177;1.4173381034246366;1.8294892846616981;-1.6327787131440417;5.7;5.7;9.9;14.355;point_30%;5.7;9.9;2;0;0;0;-;0.0;0;0;0;0
94.0;11.0;53.7253447;86.8443463;224.0;;72.0;12.759667622119073;204.475;-0.0050983991026817;-0.9737942286122158;-0.0469052717446721;Груженный движется вперед;95;7530G;240;1276.0;66.0;98.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.0;876.0;50.0;/home/pi/adviser/route32;[];1.1892430555555555;5.8;5.7;7.6;11.3;2.7576275933008576;-2.660654729257351;1.5529813642312467;2.2064165719338136;-0.9204797934269346;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
109.0;13.0;53.7252327;86.8444903;225.0;;72.0;15.66541866143112;127.7;-0.0336494340776996;-1.0023452635872336;-0.0356887937187723;Груженный движется вперед;95;7530G;240;974.0;51.0;100.0;796.0;32.0;796.0;30.0;868.0;48.0;880.0;45.0;24.0;44.06818181818182;876.0;50.0;/home/pi/adviser/route32;[];1.3666041666666666;4.8;6.6;12.0;9.2;2.038024295381688;-3.066463338812109;1.6474090742339487;2.6026356784977476;-1.0034255435931239;5.7;5.7;9.9;9.9;-;5.7;9.9;0;0;0;0;-;0.0;0;0;0;0
