Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;Скорость;Продольный наклон;уклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;rec_hole;примечание;рекомендованная скорость_holes;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;nom_point;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа
53.7510615;86.7657175;1;-;0;0;11;2.0326673336472063;0.22705616732031267;-0.008070448307373019;-1.9965061919316376;-0.15729192389447025;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;0.32616200227160985;11.117938729452543;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7510935;86.7658775;1;point_60%;0;0;12;2.21745527306968;0.8303275324618989;0.19058105100343736;-2.0896002574235135;-0.1578739668170683;20.10919324518062;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;0.19013755984990333;1.5406667280580124;-;0;288.0;1;0;0;1;0;0;240;7530G;95;6.3;10.2
53.75109611563861;86.76590048414602;1;-;0;0;24;4.43491054613936;0.9604553517793444;0.3740028257221873;-2.178566109187454;-0.11332339625709917;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.07868432624714083;11.635178737807797;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7510879;86.7660767;1;point_90%;0;0;42;7.76109345574388;0.8099909025574445;0.5284237526017905;-2.256612410911321;-0.018242021276808826;3.562507617204388;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.005420431592719099;18.476984127413317;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.751087;86.7663574;1;point_90%;0;0;68;12.565579880728185;0.6170872106282909;0.6410522658306841;-2.317950057363473;0.13809148813710234;4.498086182790669;0;0;0;0;0;Объезд справа;добавили новую яму;0;0.0;0.0;0.014844428120043052;25.50290927626468;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7510904;86.7667448;1;point_90%;0;0;94;17.37006630571249;0.5386981946827498;0.6903276442412714;-2.3510608394749433;0.35829340184300124;3.972362545124037;0;0;0;0;0;Объезд справа;добавили новую яму;0;0.0;0.0;-0.02726114011082692;26.543398087376943;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7510839;86.7671479;1;point_90%;0;0;116;21.435400973006907;0.587698772233435;0.6650823089912195;-2.3473986554420687;0.6229785460323762;11.582361595266487;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.23705562846067663;21.236236015345668;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7510391;86.7674615;1;point_90%;0;0;144;26.60946327683616;0.6334702149079701;0.5710081783269707;-2.3079043996738076;0.8838844459749072;7.0408600196940645;0;0;0;0;0;Объезд справа;-;0;26.60946327683616;0.0;-0.1645525185145711;27.997885506783792;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7509979;86.7678811;1;point_90%;0;0;172;26.817336035372147;0.5911710965048689;0.4176882564470338;-2.2428008779708786;1.1147169020147212;6.6229698676415225;0;0;0;0;0;Объезд справа;-;0;0.0;26.60946327683616;-0.16283051686737382;28.016633115546213;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7509571;86.7683011;1;point_90%;0;0;192;26.965816577183563;0.39425436128179653;0.2161354761589418;-2.17208363869379;1.2869233602217482;5.718165161609711;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.19680822428645262;20.826292812833103;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.75092051743497;86.76861138603073;1;point_90%;0;0;205;27.062328929360987;0.16395361895882898;0.0468188283285393;-2.118092702585656;1.3878981631115725;3.261310496406907;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.26405233954724405;12.717895848541216;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7508907;86.7687979;1;point_90%;0;0;215;27.136569200266695;-0.11318726797788027;-0.08836968966130146;-2.0877144294209145;1.458328158130252;2.2380326586901296;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.3217424659424888;9.563176414600765;-;0;288.0;2;0;0;0;0;0;240;7530G;95;6.3;10.2
53.75086353471111;86.76893572880469;1;-;0;0;236;27.292473769168684;-0.3212986158369092;-0.24208675074606267;-2.068416830345858;1.4180492159825193;0.0;0;0;0;0;0;Нет;;0;0.0;0.0;-0.35823000379962133;21.442230849479586;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.750796;86.7692408;1;point_90%;0;0;267;27.522618608976384;-0.3497141537230196;-0.38050719547533707;-2.048588838315607;1.255034655292873;0.0;0;0;0;0;0;Объезд справа;добавили новую яму;0;0.0;0.0;-0.521385220012434;30.46292694082638;-;0;288.0;3;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7506597;86.7696421;1;point_90%;0;0;294;27.7230673404218;-0.17481460864296808;-0.48539325793226307;-2.0122537578284083;0.9638775047843307;6.068124324387238;0;0;0;0;0;Объезд справа;добавили новую яму;0;0.0;0.0;-0.43666628339777924;27.690617584493534;-;0;288.0;3;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7505545;86.7700233;1;point_90%;0;0;323;27.938364126048356;0.1448922851084969;-0.5625698827093979;-1.9547171602529163;0.5896348980247744;6.2488351725635995;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.7559590699023659;28.252738777411842;-;0;288.0;3;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7503804;86.7703356;1;point_90%;0;0;349;28.1313888304032;0.2190758521024801;-0.5378262299403159;-1.8793432655436102;0.15331419948233352;0.0;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.8888780137587666;26.297307555862563;-;0;288.0;3;0;0;0;0;0;240;7530G;95;6.3;10.2
53.750197;86.7705874;1;-;0;0;366;28.257597290942908;-0.1972172480924604;-0.4588393729428127;-1.8084999633601182;-0.21483154562709453;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.014617413649141;17.630477105728215;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7500624957631;86.77072880337447;1;-;0;0;370;28.28729339930519;-0.986817988718264;-0.4083966714000823;-1.7482418429375235;-0.5535859929799776;0.0;0;0;0;0;0;Нет;;0;0.0;0.0;-1.2232453237001204;3.090726754951665;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.75003639178063;86.77074479554209;1;-;0;0;399;28.502590184931748;-1.776700543118654;-0.35941261193421814;-1.6792851199807717;-0.8631976321023687;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.3577505878784675;28.98569522848506;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
