;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;12.0;53.7229274;86.8363226;197.0;2.0069201717515996;0.609513410413736;0.3705528188286919;;85.2;0.0;294.95000000000005;-0.023452635872336;-0.9890894259202612;-0.0346691138982359;Груженный движется вперед;95;7530G;240;1428.0;83.0;100.0;800.0;28.0;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;0.4096527777777778;6.1;6.9;9.4;10.7;2.4828118184163417;-1.7953896528369717;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
1;19.0;12.0;53.7227606;86.8362582;202.0;3.75187292529395;-0.4117628597287425;1.4626331522883336;;85.6;19.046767734128945;245.925;0.0499643112062812;-1.009483022330988;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1427.5;71.0;77.0;800.0;28.0;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;0.956152777777778;7.0;6.8;12.8;14.7;2.621443534361812;-1.9484245898659283;6.6;6.6;10.6;15.37;point_30%;1;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
2;47.0;14.0;53.7225276;86.836102;204.0;2.9021593749044965;-1.2950145057613534;2.542966611932136;;84.4;27.903931461778622;268.55;0.003059039461609;-1.0257978994595698;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1312.0;81.0;100.0;800.0;28.0;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;1.2545416666666669;5.7;7.2;10.3;11.6;2.772858290779082;-1.7310869499645563;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
3;63.0;13.0;53.7223867;86.8360635;202.0;3.264354020094657;-2.0480291117798077;3.6167403477748357;;84.4;15.888861421937376;257.675;0.0280411950647496;-1.0186601407158151;-0.058121749770572;Груженный движется вперед;95;7530G;240;1557.5;71.0;70.5;800.0;28.0;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;1.5408472222222225;4.4;9.6;11.6;11.1;2.9361351837806384;-1.9359828183427035;6.6;9.569999999999999;10.6;10.6;point_30%;2;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
4;80.0;14.0;53.722242;86.83597;199.0;1.8810614505999135;-2.6785942618798164;4.689141509831169;;84.0;17.24541004347745;346.75;-0.1804833282349342;-1.0400734169470789;-0.0346691138982359;Груженный движется вперед;95;7530G;240;1522.0;96.0;97.0;800.0;28.025;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;1.9261250000000003;8.1;7.2;14.0;11.3;3.110353309478966;-1.8226511712423004;6.6;6.6;15.37;10.6;point_30%;2;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
5;96.0;14.0;53.7221061;86.8359109;200.0;2.046389423165263;-3.1944975401570903;5.765357248115872;;84.4;15.621399453142736;414.0;-0.1519322932599164;-1.0737228510247785;-0.0387478331803813;Груженный движется вперед;95;7530G;240;1731.0;98.0;100.0;800.0;28.05;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;2.3861250000000003;7.8;5.0;13.5;10.3;3.29459176398655;-2.017977082251674;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
6;112.0;14.0;53.721971;86.8358014;207.0;4.600830715630059;-3.6035265307073403;6.85057471264368;;84.4;16.679623033764248;386.025;-0.061180789232181;-1.0879983685122872;-0.0876924645661262;Груженный движется вперед;95;7530G;240;1621.5;98.0;100.0;800.0;28.075;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;2.815041666666667;6.1;6.8;13.6;12.9;3.487929643415877;-2.187382172634396;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
7;130.0;14.0;53.7218416;86.8356464;203.0;5.160251538299986;-3.9134688176262773;7.94998105342933;;84.4;17.656239870772133;203.525;-0.0326297542571632;-1.0043846232283062;-0.0907515040277353;Груженный движется вперед;95;7530G;240;1646.5;51.5;53.0;800.0;28.1;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;3.041180555555556;5.5;5.5;12.5;10.5;3.6894460438794314;-2.1050964112897677;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
8;146.0;16.0;53.721719;86.8355238;200.0;2.893111961138111;-4.132111985009613;9.068763420487558;;84.8;15.858230369621207;382.6;-0.0275313551544814;-1.008463342510452;-0.0509839910268175;Груженный движется вперед;95;7530G;240;1675.0;97.0;100.0;800.0;28.125;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;3.572569444444445;5.3;7.0;12.8;9.1;3.898220061489699;-2.3892658360841947;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;1;0;0.0;0.0
9;167.0;15.0;53.7215919;86.8352943;203.0;2.033521193812098;-4.267243616953056;10.212108963833103;;84.8;20.70555574851585;420.175;-0.0632201488732537;-1.0319159783827878;-0.0367084735393086;Груженный движется вперед;95;7530G;240;1748.0;98.0;100.0;800.0;28.15;796.0;28.0;876.0;46.0;884.0;43.0;12.0;45.0;852.0;48.0;4.039430555555556;6.2;6.9;12.7;11.9;4.113330792359165;-2.32898871683859;6.6;6.6;10.6;10.6;-;0;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
