;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;9.0;53.7228816;86.8370448;204.0;-1.2941504714501473;0.7083851559431499;-0.03302317095420113;2496.0;91.2;0.0;22.15;-0.014785357397777;-1.0380340573060058;0.023452635872336;Груженный движется вперед;95;7530G;240;803.5;16.0;29.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;0.0307638888888888;8.5;6.8;11.6;10.0;-0.3234570094559737;-2.240510800516367;0;9.424999999999999;6.5;10.9;10.9;point_30%;1;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
1;11.0;10.0;53.7228059;86.8369435;206.0;0.7931955724126843;-0.17065351434085052;-0.2050159291538531;2496.0;91.2;10.748768831976845;136.3;0.0622004690527174;-0.9554399918425616;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1044.0;52.0;100.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;0.1443472222222222;6.5;7.3;13.6;12.3;0.4817576525423756;-2.105085984720475;0;6.5;6.5;10.9;10.9;-;0;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
2;23.0;9.0;53.7227141;86.8368517;205.0;1.7027635643029129;-0.9453899756677665;-0.12668659565210347;2496.0;90.8;11.874198640434315;198.625;-0.0326297542571632;-0.9941878250229428;-0.0295707147955541;Груженный движется вперед;95;7530G;240;1235.0;64.0;99.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;0.3650416666666667;6.3;6.5;10.8;9.6;1.1965148522666798;-2.222717293632616;0;6.5;6.5;10.9;10.9;-;0;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
3;35.0;11.0;53.7226258;86.8367378;206.0;4.271419727688365;-1.6205708195679378;0.1864132036545942;2496.0;90.4;12.365614269269663;262.35;-0.0010196798205363;-0.9829713469970428;-0.0734169470786173;Груженный движется вперед;95;7530G;240;1609.5;69.5;71.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;0.7294166666666667;4.6;6.1;13.4;9.3;1.8277164843506788;-2.105088420029298;0;6.5;6.5;10.9;10.9;-;0;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
4;53.0;15.0;53.7224884;86.8366004;211.0;3.385163188240228;-2.200942637571704;0.7187318428697865;2496.0;90.0;17.772515625815995;379.225;-0.1060467013357805;-1.0461914958702967;-0.0622004690527174;Груженный движется вперед;95;7530G;240;1587.0;98.0;100.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;1.150777777777778;5.7;6.8;16.0;15.2;2.382264443428113;-2.185036172871664;0;6.5;6.5;15.805;15.805;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
5;71.0;14.0;53.722355;86.8364414;213.0;-0.31750922844870666;-2.691252021209405;1.4547176960970203;2496.0;90.0;18.17186196412016;383.25;-0.1315386968491893;-1.096155807076578;0.0061180789232181;Груженный движется вперед;95;7530G;240;1629.0;97.0;100.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;1.5766111111111112;7.9;8.7;21.6;12.1;2.867060624132723;-2.105091145380512;0;6.5;9.424999999999999;22.345;15.805;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;1;0;0.0;0.0
6;88.0;13.0;53.7222255;86.8363119;207.0;3.07877851230349;-3.0962455620113802;2.3788191374398417;2496.0;90.0;16.75068821492876;380.4625;-0.0810645457326399;-0.9967370245742836;-0.0537881105332924;Груженный движется вперед;95;7530G;240;1594.25;97.5;100.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;2.2107152777777777;6.3;8.2;16.2;14.6;3.289006921098248;-2.1816632744448436;0;6.5;6.5;15.805;15.805;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;1;0;0.0;0.0
7;107.0;15.0;53.7220859;86.8361467;212.0;2.9162009787329435;-3.420669851507969;3.475484541001798;2496.0;89.6;18.97141088435723;257.1;0.0326297542571632;-1.0003059039461608;-0.0509839910268175;Груженный движется вперед;95;7530G;240;1509.0;70.5;72.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;2.4963819444444444;6.0;5.9;14.3;13.2;3.6550052289584296;-2.338757854536052;0;6.5;6.5;15.805;10.9;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;1;0;0.0;0.0
8;125.0;15.0;53.7219644;86.8359484;213.0;2.861839144794451;-3.6692714812295133;4.729162280886434;2496.0;89.2;18.803000325950205;327.35;-0.0219231161415315;-1.1012542061792596;-0.0550627103089629;Груженный движется вперед;95;7530G;240;1451.5;91.0;99.5;800.0;29.0;800.0;27.0;880.0;46.0;884.0;44.0;8.0;42.0;856.0;46.0;2.8601041666666664;5.6;5.7;15.1;10.6;3.971957442347007;-2.2823310035669913;0;6.5;6.5;15.805;10.9;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;1;0;0.0;0.0
9;142.0;13.0;53.7218524;86.8357852;210.0;4.834660156609945;-3.846797042706351;6.124300731197297;2496.0;89.2;16.462410720652148;438.5;-0.0764759865402263;-1.0339553380238604;-0.0876924645661262;Груженный движется вперед;95;7530G;240;1812.0;95.0;100.0;800.0;29.0;800.0;27.0;880.0;46.0;884.0300751879699;44.0;8.0;42.0;856.0;46.0;3.7127430555555554;6.1;5.2;11.7;12.1;4.246765455897721;-2.383598017657901;0;6.5;6.5;15.805;10.9;point_90%;2;6.5;10.9;0.0;0;0;-;0.0;0;0;0.0;0.0
