len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0.0;10.0;53.7260597;86.8448053;216.0;;68.4;0.0;45.125;-0.15091261343938;-1.0349750178443968;0.0101967982053635;Груженный движется вперед;95;7530G;240;1308.0;16.0;25.0;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.050138888888888886;8.1;5.9;13.2;7.9;-0.5585658475973534;-6.571807401300099;-1.3468441440664216;0.05564677978471788;-1.9869626726551997;8.555;5.9;14.21;9.8;point_60%;5.9;9.8;1;0;0;0;-;0.0;0;0;0;0
12.0;9.0;53.7259585;86.8447297;215.0;;68.4;12.317035754377287;139.10000000000002;-0.078515346181299;-1.0359946976649332;-0.020393596410727;Груженный движется вперед;95;7530G;240;1068.0;52.0;100.0;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.16605555555555557;7.3;4.9;12.1;10.7;1.1245000688857494;-5.257296835319867;-1.1684818393480942;-0.19318484835725636;-1.9601138863537702;5.9;5.9;14.21;9.8;point_60%;5.9;9.8;1;0;0;0;-;0.0;0;0;0;0
22.0;9.0;53.725875;86.8446718;217.0;;68.4;10.04718094742987;41.6;-0.0836137452839808;-1.0003059039461608;0.0152951973080452;Груженный движется вперед;95;7530G;240;1000.5;33.0;71.0;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.2122777777777778;6.7;6.9;14.7;6.0;-0.8729700577631818;-4.244033486405803;-0.9563875811377995;-0.3889155544327911;-2.2469428171484394;5.9;5.9;14.21;9.8;point_60%;5.9;9.8;1;0;0;0;-;0.0;0;0;0;0
33.0;8.0;53.7258031;86.8445743;210.0;;68.8;10.261673248669775;46.875;-0.0938105434893443;-1.023758539818497;0.0805547058223717;Груженный движется вперед;95;7530G;240;1304.0;16.0;25.5;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.2643611111111111;10.6;7.1;10.1;13.3;-4.480369491229785;-3.5047530996456686;-0.7148125057499986;-0.5266725611553159;-1.9065108632542946;10.325000000000001;5.9;9.8;14.21;point_60%;5.9;9.8;1;0;0;0;-;0.0;0;0;0;0
40.0;7.0;53.7257407;86.8445375;215.0;;69.2;7.357165894215881;39.5;-0.037728153359845;-0.9992862241256244;0.023452635872336;Груженный движется вперед;95;7530G;240;1307.0;14.0;21.5;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.3192222222222222;7.4;7.6;12.3;7.6;-1.3434932084039783;-3.0121914201272246;-0.44800774949915223;-0.6015830912382606;-2.105055050582392;5.9;5.9;9.8;9.8;-;5.9;9.8;0;0;0;0;-;0.0;0;0;0;0
48.0;4.0;53.7256773;86.8444741;208.0;;69.6;8.20055015302249;65.42500000000001;0.0122361578464362;-0.9850107066381156;0.0642398286937901;Груженный движется вперед;95;7530G;240;1315.0;22.0;34.0;800.0;33.0;800.0;30.0;868.0;49.0;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.41009027777777773;7.4;7.3;10.0;10.0;-3.7311099403308132;-2.739084192938233;-0.16022444869972152;-0.6087743673950545;-1.7894731252632727;5.9;5.9;9.8;9.8;-;5.9;9.8;0;0;0;0;-;0.0;0;0;0;0
53.0;3.0;53.7256363;86.8444587;213.0;;69.6;4.675522189550456;101.66250000000001;-0.0224329560517997;-1.0196798205363515;0.0061180789232181;Груженный движется вперед;95;7530G;240;1163.0;37.0;67.0;800.0;33.0;800.0;30.0;868.1379310344828;49.01724137931034;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.5512881944444444;7.0;6.7;11.6;8.0;-0.34368739157972095;-2.6581671631664534;0.14428626033383285;-0.5433736123391276;-1.835845156210763;5.9;5.9;9.8;9.8;-;5.9;9.8;0;0;0;0;-;0.0;0;0;0;0
58.0;4.0;53.725589;86.844437;219.0;;68.8;5.456026891224104;137.9;-0.0622004690527174;-1.0166207810747423;-0.0346691138982359;Груженный стоит;95;7530G;240;1053.0;52.0;100.0;800.0;33.0;800.0;30.0;868.2758620689655;49.03448275862069;876.0;47.0;24.0;45.0;872.0;47.0;/home/pi/adviser/route31;[];0.6662048611111111;6.6;5.5;11.5;8.1;1.9495186278541259;-2.742176075899648;0.4612732412870497;-0.4005080487839093;-1.8293926691651432;5.9;5.9;9.8;9.8;-;5.9;9.8;0;0;0;0;-;0.0;0;0;0;0
64.0;4.0;53.7255427;86.8444163;217.0;;68.4;5.331450885216748;200.175;-0.0448659121035994;-0.9941878250229428;-0.0795350260018354;Груженный движется вперед;95;7530G;240;1337.0;71.0;91.0;800.0;33.0;800.0;30.0;868.4137931034483;49.05172413793103;876.0;47.0;24.0;45.0;872.2033898305085;47.016949152542374;/home/pi/adviser/route31;[];0.8886215277777778;3.9;5.3;12.9;6.0;4.569290543393952;-2.963846676225577;0.7864853578454685;-0.17530489944282912;-1.6581892411386319;5.9;5.9;14.21;9.8;point_60%;5.9;9.8;2;0;0;0;-;0.0;0;0;0;0
70.0;9.0;53.7254826;86.8444074;216.0;;68.0;6.716045296656019;318.175;-0.0723972672580809;-1.0013255837666972;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1496.0;87.0;99.0;800.0;33.0;800.0;30.0;868.551724137931;49.06896551724138;876.0;47.0;24.0;45.0;872.4067796610169;47.03389830508475;/home/pi/adviser/route31;[];1.6840590277777778;5.8;5.0;11.4;8.2;3.777135363613855;-3.295914709232002;1.115671473694628;0.137108612970683;-1.7455208368538107;5.9;5.9;14.21;9.8;point_60%;5.9;9.8;2;0;0;0;-;0.0;0;0;0;0
99.0;15.0;53.7252272;86.8443312;217.0;;68.0;28.87105387145601;199.2;-0.0662791883348628;-1.0166207810747423;-0.0305903946160905;Груженный движется вперед;95;7530G;240;1252.0;63.0;99.0;800.0;33.0;800.0;30.0;868.6896551724138;49.08620689655172;876.0;47.0;24.0;45.0;872.6101694915254;47.05084745762712;/home/pi/adviser/route31;[];1.9053923611111112;7.5;7.7;17.5;8.2;1.719876412319569;-3.711115920006685;1.4445804525200672;0.5416052657431977;-1.8373116761050334;5.9;8.555;14.21;9.8;point_60%;5.9;9.8;2;0;0;0;-;0.0;0;0;0;0
116.0;14.0;53.7250846;86.8442654;217.0;;68.0;16.455391865563175;106.05;-0.0101967982053635;-1.113490364025696;-0.0367084735393086;Груженный движется вперед;95;7530G;240;1153.0;51.0;98.0;800.0;33.0;800.0;30.0;868.8275862068965;49.10344827586207;876.0;47.0;24.0;45.0;872.8135593220339;47.067796610169495;/home/pi/adviser/route31;[];2.0232256944444447;9.6;8.8;12.9;12.4;1.8881088973242197;-4.182186053637382;1.7689611580073257;1.043057836161285;-1.9759523565684423;10.325000000000001;8.555;14.21;9.8;point_60%;5.9;9.8;2;0;0;0;-;0.0;0;0;0;0
138.0;14.0;53.7248985;86.8441305;218.0;;68.0;22.541868842959957;334.79999999999995;-0.0836137452839808;-1.009483022330988;-0.0632201488732537;Груженный движется вперед;95;7530G;240;1501.5;92.0;100.0;800.0;33.0;800.0;30.0;868.9655172413793;49.12068965517241;876.0;47.0;24.0;45.0;873.0169491525423;47.08474576271186;/home/pi/adviser/route31;[];2.3952256944444446;7.3;5.4;14.6;11.5;3.571342597465712;-4.681860855211863;2.084562453841942;1.6463391015115154;-2.1050647980179464;5.9;5.9;14.21;9.8;point_60%;5.9;9.8;2;0;0;0;-;0.0;0;0;0;0
