len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max;isin_border
0.0;8.0;53.7249742;86.8446926;211.0;;80.4;0.0;85.4;0.0540430304884266;-1.0084633425104517;-0.0214132762312633;Груженный движется вперед;95;7530G;240;874.0;34.0;68.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route5'];0.14233333333333337;5.2;8.2;9.3;10.5;1.2146687234781322;6.870168048277353;2.5142788220461685;0.21875570151432486;3.0929517297645575;5.8;8.41;9.8;9.8;point_30%;5.8;9.8;1;0;0;0;-;0.0;0;0;0;0;0
10.0;6.0;53.7249785;86.8445433;213.0;;80.0;9.84522946351093;239.025;0.0723972672580809;-0.9472825532782706;-0.0479249515652085;Груженный движется вперед;95;7530G;240;1325.0;73.0;99.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route5'];0.4743125;4.4;6.5;7.9;13.7;2.8878334244845147;3.18511707456592;2.6011253490503226;0.6052236397064022;-2.966983530700235;5.8;5.8;9.8;14.21;point_30%;5.8;9.8;1;0;0;0;-;0.0;0;0;0;0;0
21.0;6.0;53.7249606;86.8443718;215.0;;79.2;11.470193955338505;208.2;0.0591414295911083;-1.0003059039461608;-0.061180789232181;Груженный движется вперед;95;7530G;240;1373.5;61.5;72.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];0.7056458333333333;5.0;5.5;8.3;12.5;3.4938830635848444;0.11166693142750095;2.6865100493363308;1.0678231092024248;-2.8056266540390213;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;0
28.0;7.0;53.7249406;86.844275;211.0;;78.8;6.753258568915093;188.275;0.0091771183848271;-0.9839910268175792;-0.0876924645661262;Груженный движется вперед;95;7530G;240;1385.0;55.0;62.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.071736111111111;4.1;6.7;9.6;9.5;5.092478044907928;-2.3936821140579596;2.7699344344017254;1.6058565955117745;-2.4084524580327047;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;0
47.0;9.0;53.7248238;86.8440558;212.0;;78.8;19.429455029373297;214.125;-0.0316100744366268;-1.0370143774854697;-0.061180789232181;Груженный движется вперед;95;7530G;240;1392.5;59.0;68.5;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19'];1.3096527777777776;5.0;7.4;10.4;10.6;3.374804440968559;-4.374429794810517;2.850900015744041;2.218626584143833;-2.105065010738926;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;0
60.0;10.0;53.7247274;86.8439594;211.0;;78.8;12.469047079849126;128.775;-0.0795350260018354;-1.021209340267156;-0.0428265524625267;Груженный движется вперед;95;7530G;240;1209.0;44.5;59.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.4885069444444443;6.7;4.8;11.0;11.8;2.394169557592373;-5.874075843750223;2.9289083048608098;2.905435560607983;-1.7981160561685932;5.8;5.8;9.8;9.8;-;5.8;9.8;0;0;0;0;-;0.0;0;0;0;0;0
74.0;17.0;53.7246013;86.8439101;209.0;;79.6;14.408292988243433;96.95;-0.209034363209952;-1.023758539818497;-0.0158050372183134;Груженный движется вперед;95;7530G;240;752.0;49.0;100.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.623159722222222;9.7;5.3;14.7;8.9;0.8665987996250425;-6.936119993797135;3.003460813249566;3.6655860104136058;-2.105068708605013;8.41;5.8;14.21;9.8;point_30%;5.8;9.8;2;0;0;0;-;0.0;0;0;0;0;0
101.0;14.0;53.7243923;86.8437011;210.0;;80.8;27.033561409722655;248.975;-0.2049556439278066;-1.07882125012746;-0.0295707147955541;Груженный движется вперед;95;7530G;240;1361.0;74.0;100.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];1.899798611111111;7.7;5.8;15.1;8.9;1.5425195903980011;-7.604061977871307;3.074059052407843;4.498380419070085;-2.6602498027132775;8.41;5.8;14.21;9.8;point_30%;5.8;9.8;2;0;0;0;-;0.0;0;0;0;0;0
118.0;12.0;53.7243236;86.8434788;209.0;;81.2;16.51890600880999;190.625;-0.2008769246456612;-1.0074436626899157;-0.0418068726419904;Груженный движется вперед;95;7530G;240;1370.0;57.0;66.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];2.1116041666666665;7.4;4.5;13.7;5.7;2.330472222113491;-7.921401528892794;3.140204533833174;5.403121272086801;3.1164707229373896;5.8;5.8;14.21;9.8;point_30%;5.8;9.8;2;0;0;0;-;0.0;0;0;0;0;0
131.0;10.0;53.7243266;86.843277;207.0;;81.6;13.295878209737051;368.225;-0.1264402977465075;-0.9941878250229428;-0.0815743856429081;Груженный движется вперед;95;7530G;240;1555.0;97.0;100.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];2.5207430555555552;5.2;5.5;12.9;5.7;4.653368764654213;-7.931638379781651;3.2013987690230925;6.379111054973136;2.5439484760432203;5.8;5.8;14.21;9.8;point_30%;5.8;9.8;2;14;0;1;[53.72455764005456, 86.84343597418842];27.7694025194058;0;0;0;0;0
143.0;11.0;53.7243854;86.843131;206.0;;81.6;11.6327470062575;382.9;-0.188640766799225;-1.0043846232283062;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1784.0;89.0;91.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];2.9461874999999997;5.9;4.2;13.4;6.2;3.7107697949080634;-7.678272263457929;3.2571432694751317;7.425652253238474;2.0526512467882227;5.8;5.8;14.21;9.8;point_30%;5.8;9.8;2;14;0;1;-;0.0;0;0;0;0;0
158.0;14.0;53.7245077;86.8430229;207.0;;81.6;15.364003783068759;371.925;-0.2080146833894157;-0.9972468644845518;-0.0601611094116447;Груженный движется вперед;95;7530G;240;1821.0;81.0;87.0;796.0;25.0;804.0;25.0;864.0;42.0;876.0;37.0;20.0;37.0;872.0;43.0;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route29', '/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];3.4627499999999998;6.7;4.3;13.2;6.0;3.379741558720938;-7.204802912841686;3.3069395466868254;8.542047352392194;1.465304303979625;5.8;5.8;14.21;9.8;point_30%;5.8;9.8;2;14;0;1;-;0.0;0;0;0;0;0
