len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;0.1;60.64605516666666;59.71701433333333;330.7;81.83417931778826;-5.755521710815184;111.0;;59.6;0.0;;0.10302734375;1.0250244140625;0.103271484375;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];847;0.0;;7.1;6.2;8.4;5.0;5.9332216276334915;4.328617335105548;-1.4404943379791475;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.328617335105548;up;0;0.01;0.0;0
1.0;0.690909090909092;60.64604675;59.71701658333333;330.85;81.79155916654611;-5.399184618974483;110.0;;60.2;0.872064872141004;;0.0980224609375;1.03082275390625;0.11041259765625;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];847;;;6.4;6.4;8.4;5.0;5.859821177217054;4.300036285195905;-1.4938101337013419;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.300036285195905;up;0;0.01;0.0;1
3.0;1.700000000000001;60.646030333333336;59.71701916666667;331.3;82.09408536491964;-5.399088025292;110.0;;60.4;1.3991055303935993;;0.101806640625;1.071533203125;0.1058349609375;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route1', '/home/pi/adviser/route7'];847;;;6.7;6.4;8.8;5.0;5.786420726800617;4.27145523528626;-1.5540863855128317;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.27145523528626;up;0;0.01;0.0;1
4.0;2.7090909090909103;60.64601566666666;59.717019666666666;331.7;81.62034704394691;-4.5095473245201925;112.0;;60.4;1.6329414829014242;;0.080810546875;1.0128173828125;0.12353515625;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route1', '/home/pi/adviser/route7'];847;;;6.7;6.4;8.8;5.2;5.713020276384179;4.242874185376617;-1.5800451985127406;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.242874185376617;up;0;0.01;0.0;1
6.0;3.718181818181819;60.645998;59.71701933333333;331.9;81.4328185747205;-5.074446115355219;110.0;;60.8;1.9667617573628993;;0.093994140625;1.037841796875;0.0499267578125;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;7.0;6.4;8.1;5.2;5.639619825967741;4.214293135466973;-1.4604179473938461;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.214293135466973;up;0;0.01;0.0;1
9.0;4.727272727272727;60.64597883333333;59.71702366666667;332.3;81.25453019030988;-4.788702912983641;108.0;;60.8;2.1467236043690145;;0.0894775390625;1.079345703125;0.1292724609375;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;7.0;6.3;9.1;5.2;5.566219375551304;4.185712085557329;-1.7685231668304153;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.185712085557329;up;0;0.01;0.0;1
11.0;5.454545454545453;60.64595966666667;59.717015833333335;332.5;83.65967192937316;-3.560860281981372;110.0;;60.8;2.1760587607457893;;0.0657958984375;1.0892333984375;0.0958251953125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;7.4;7.5;9.1;5.3;5.492818925134866;4.157131035647685;-1.7283425213033516;6.6;6.6;7.0;7.0;-;6.6;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.157131035647685;up;0;0.01;0.0;1
13.0;6.181818181818181;60.645941666666666;59.71701;332.6;79.52910513474762;-1.339491040700128;112.0;;60.8;2.0289123283788304;;0.020751953125;1.0059814453125;0.171142578125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;8.5;7.5;9.5;8.2;5.419418474718428;4.128549985738042;-1.7940539433754732;6.6;6.6;10.15;7.0;point_30%;6.6;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.128549985738042;up;0;0.01;0.0;1
15.0;6.909090909090907;60.64592583333334;59.717002666666666;332.8;77.74915471375138;-4.038749439748617;116.0;;60.8;1.8074467905708684;;0.0743408203125;1.0093994140625;0.188232421875;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;8.7;6.7;6.0;8.2;5.346018024301991;4.099968935828398;-1.9481404280864991;9.569999999999999;6.6;10.15;7.0;point_30%;6.6;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.099968935828398;up;0;0.01;0.0;1
16.0;7.636363636363635;60.64591016666667;59.71699;333.1;80.14921621205963;-4.651368455557047;112.0;;60.8;1.8760193753764012;;0.0831298828125;1.02001953125;0.142822265625;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;31.0;768.0;45.0;764.0;42.0;732.0;42.0;768.0;44.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];847;;;8.7;5.3;9.8;7.5;5.272617573885554;4.071387885918754;-2.0377022545046364;9.569999999999999;6.6;10.15;7.0;point_30%;6.6;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.071387885918754;up;0;0.01;0.0;1
