len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;7.090909090909095;60.64605216666666;59.716796333333335;335.3;82.76306778824218;-5.152413161037756;109.0;;56.4;0.0;;0.093994140625;1.06201171875;0.0927734375;Груженный стоит;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0;41.0;772.0;43.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];686;0.0;;6.9;6.5;8.3;7.1;7.3729114165209575;3.5468264464772914;-1.6420642969016228;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5468264464772914;up;0;0.01;0.0;0
2.0;7.400000000000004;60.646035;59.71679383333333;335.3;81.9823214469227;-3.0470323768433216;109.0;;56.0;1.9158803844592582;;0.055419921875;1.0361328125;0.102783203125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0;41.0;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];686;;;7.0;6.5;6.6;7.1;7.249012701475374;3.5311038085383477;-1.7297040738210105;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5311038085383477;up;0;0.01;0.0;1
4.0;7.7090909090909125;60.646017666666665;59.71678816666667;335.3;81.95089315739851;-6.375629952988248;110.0;;56.0;1.9541919298945043;;0.121337890625;1.08154296875;0.0716552734375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0;41.0;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];686;;;7.1;5.3;6.6;8.3;7.125113986429791;3.5153811705994045;-1.7857853090832987;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.5153811705994045;up;0;0.01;0.0;1
6.0;8.018181818181821;60.645999333333336;59.71678;335.4;78.57572694396495;-5.337602528307687;110.0;;56.0;2.08898286845685;;0.1011962890625;1.0635986328125;0.1876220703125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0;41.0;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];686;;;7.1;7.0;6.7;8.3;7.001215271384208;3.499658532660461;-1.8598083431080124;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.499658532660461;up;0;0.01;0.0;1
8.0;8.327272727272732;60.645979;59.71676766666667;335.0;81.24750407815543;-2.6489616045566065;113.0;;56.0;2.3614745528951744;;0.05126953125;1.077392578125;0.1534423828125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0;41.0;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];686;;;6.6;8.2;8.5;6.9;6.877316556338624;3.483935894721517;-1.9034366396093678;6.4;6.4;7.1;7.1;-;6.4;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.483935894721517;up;0;0.01;0.0;1
10.0;8.636363636363635;60.6459615;59.71675533333333;334.7;83.46835329722686;-5.012760536291718;113.0;;56.0;2.061106726813336;;0.0853271484375;1.012939453125;0.016357421875;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.0845070422536;40.95774647887324;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route7', '/home/pi/adviser/route1'];686;;;7.0;8.2;9.3;5.3;6.75341784129304;3.468213256782574;-1.9720697926098687;6.4;6.4;10.295;7.1;point_30%;6.4;7.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.468213256782574;up;0;0.01;0.0;1
13.0;8.999999999999998;60.645941666666666;59.716738166666666;334.6;82.97076125790937;-0.9115280352429492;115.0;;56.0;2.398391663634571;;0.022216796875;1.0406494140625;0.091064453125;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.1971830985915;40.901408450704224;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route1', '/home/pi/adviser/route7'];686;;;7.9;7.2;9.3;9.2;6.629519126247457;3.45249061884363;-2.04422488665094;6.4;6.4;10.295;7.1;point_30%;6.4;7.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.45249061884363;up;0;0.01;0.0;1
15.0;9.18181818181818;60.64592316666667;59.71671883333333;334.4;81.653228846698;-3.038803882036372;111.0;;56.0;2.313956690244882;;0.0570068359375;1.065673828125;0.1451416015625;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.3098591549297;40.845070422535215;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route1', '/home/pi/adviser/route7'];686;;;7.9;6.3;9.1;9.2;6.505620411201874;3.436767980904687;-2.1051496232443636;6.4;6.4;7.1;7.1;point_30%;6.4;7.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.436767980904687;up;0;0.01;0.0;1
17.0;9.363636363636362;60.64590466666667;59.7166965;334.5;81.07724478634637;-5.75815462255569;106.0;;56.0;2.3930393155252148;;0.1009521484375;1.005126953125;0.120849609375;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.4225352112676;40.78873239436619;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route6', '/home/pi/adviser/route1', '/home/pi/adviser/route7'];686;;;7.6;6.0;5.7;8.0;6.381721696156291;3.4210453429657433;-2.0178867111752403;6.4;6.4;7.1;7.1;point_30%;6.4;7.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.4210453429657433;up;0;0.01;0.0;1
20.0;9.545454545454543;60.64588183333333;59.71667416666666;334.2;77.7821254284266;0.3878201056185282;110.0;;56.0;2.8189119052871074;;-0.0068359375;0.987060546875;0.213623046875;Груженный движется вперед;32;75131;130;;;;;764.0;35.0;764.0;30.0;772.0;47.0;772.0;43.0;732.5352112676056;40.732394366197184;772.0;43.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1', '/home/pi/adviser/route6', '/home/pi/adviser/route7'];686;;;6.7;8.2;6.4;7.8;6.2578229811107065;3.4053227050267996;-2.0898184072830217;6.4;6.4;7.1;7.1;point_30%;6.4;7.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.4053227050267996;up;0;0.01;0.0;1
