len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;5.0;60.64619433333333;59.714560166666665;346.6;86.56497121320623;-1.3753088402182327;95.0;;78.4;0.0;;0.0244140625;1.00927734375;0.0447998046875;Груженный стоит;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;0.0;;9.6;8.1;8.9;5.1;1.5007232189652873;2.2626670746570174;-1.6439142318809048;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;5.0;1.5007232189652873;up;0;0.01;0.0;1
2.0;5.0;60.646179833333335;59.714558;346.3;83.44148118543785;-1.0426520215218544;94.0;;78.8;1.6184844117165806;;0.0196533203125;1.0614013671875;0.1187744140625;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;9.4;8.6;8.9;5.1;1.7474756415918766;4.707069741822407;-1.1353116913166086;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;1.7474756415918766;up;0;0.01;0.0;1
3.0;5.0;60.64617;59.714567333333335;345.9;85.47871019414552;-3.1153249718778757;94.0;;78.8;1.207347043817476;;0.055908203125;1.0316162109375;0.0582275390625;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;8.9;8.6;9.0;4.7;1.9134699520946263;5.884507521430187;-1.2212548126954785;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;5.0;1.9134699520946263;up;0;0.01;0.0;1
4.0;5.0;60.646157;59.714577;345.5;84.67142722535023;-2.5011617579449283;93.0;;78.8;1.5403213421866995;;0.0443115234375;1.0400390625;0.0814208984375;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;10.3;8.3;9.0;6.3;2.0032975241613364;6.229785270463927;-1.0903113509300821;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;2.0032975241613364;up;0;0.01;0.0;1
6.0;6.0;60.64614383333333;59.714591;345.2;83.3961167522823;-0.5442043235669729;95.0;;78.8;1.6528862426016888;;0.0126953125;1.051025390625;0.1085205078125;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;12.6;7.4;7.4;9.7;2.023839867606965;6.084648337472176;-0.6747348276842464;11.889999999999999;8.2;7.4;10.73;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.023839867606965;up;0;0.01;0.0;1
8.0;7.0;60.64613383333333;59.7146165;345.0;78.77769516931664;-4.518804111589725;93.0;;78.8;1.7820246868052694;;0.079833984375;1.0147705078125;0.1793212890625;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;12.6;6.8;6.0;9.7;1.9838726277160224;5.707216310895523;-0.7582524280295164;11.889999999999999;8.2;7.4;10.73;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.9838726277160224;up;0;0.01;0.0;1
10.0;8.0;60.646123;59.71463983333334;343.9;84.24468295810343;-1.8584981613354552;96.0;;78.8;1.7537626285225398;;0.0340576171875;1.030517578125;0.1004638671875;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;9.3;6.8;8.5;8.2;1.8936695845849643;5.281416767393685;-0.82817413796398;11.889999999999999;8.2;7.4;7.4;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;up;0.0;7.5;1.8936695845849643;up;0;1.8621131386893524;1.3486084796048106;1
13.0;7.0;60.64610208333333;59.714679;343.35;85.74507477663957;0.4853754877373624;99.0;;78.8;3.1606869470084633;;-0.0093994140625;1.01708984375;0.0543212890625;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;10.9;7.1;8.5;7.4;1.7646066524645856;4.926419020172565;-0.786411068965053;11.889999999999999;8.2;7.4;7.4;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;up;7.5;0.0;1.7646066524645856;up;0;0.01;1.3077415559804226;1
16.0;8.0;60.64607883333333;59.71472633333333;342.8;82.7943636251701;0.7113356254197478;98.0;;78.8;3.656595411735196;;-0.0157470703125;1.0875244140625;0.1004638671875;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;10.9;8.9;5.9;9.0;1.6087658791024142;4.706067867311358;-0.6265607298619735;11.889999999999999;8.2;7.4;7.4;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.6087658791024142;up;0;0.01;1.3210858575720594;1
19.0;8.0;60.646066;59.7147625;342.2;82.32422035092488;-1.1640208080595826;95.0;;78.8;2.436418388393868;;0.0162353515625;1.013427734375;0.07421875;Груженный движется вперед;32;75131;130;;;;;744.0;20.0;740.0;15.0;760.0;33.0;740.0;30.0;708.0;25.0;748.0;29.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];670;;;10.0;8.9;7.3;9.0;1.4385394450851052;4.638317340089581;-0.4498671394537177;11.889999999999999;8.2;7.4;7.4;point_30%;8.2;7.4;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;up;1;0.01;1.362804358337493;1
