len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;remark;shtraf;isin_border
1.0;6.0;60.64548608333333;59.71823225;326.2;84.86538519769951;-1.549808167993724;107.0;;86.8;0.7584737138083206;;0.02777099609375;1.02423095703125;0.08453369140625;Груженный движется вперед;32;75131;130;;;;;688.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;7.3;10.8;10.7;5.1;5.253496355764159;1.671409882086833;-0.987099092867203;7.2;10.44;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.671409882086833;up;0;0.01;1;0.0;0
3.0;7.0;60.64547216666666;59.718251;328.5;85.69146390493134;-0.9582358503969004;107.0;;86.8;1.4957300537557476;;0.01708984375;1.0128173828125;0.07470703125;Груженный движется вперед;32;75131;130;;;;;688.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;8.5;7.4;8.6;6.0;5.33283674660582;1.657933654999504;-1.078910058712311;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.657933654999504;up;0;0.01;1;0.0;0
4.0;8.0;60.64546141666666;59.718262749999994;330.3;81.27760517675284;-1.3710550444130414;107.0;;86.8;1.1865264565257716;;0.02532958984375;1.0341796875;0.13470458984375;Груженный движется вперед;32;75131;130;;;;;688.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;10.3;8.7;8.4;7.8;5.412177137447481;1.6444574279121749;0.24007093879601848;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.6444574279121749;up;0;1.6714098820868333;1;0.0;0
7.0;7.0;60.645464833333335;59.71826991666667;330.4;81.29858796673771;-1.952558124795527;107.0;;86.8;0.5060220907245981;;0.037109375;1.0498046875;0.12744140625;Груженный движется вперед;32;75131;130;;;;;688.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;9.4;7.8;7.5;10.1;5.650198309972463;1.6040287466501877;3.0002211263813923;10.44;7.2;7.0;10.15;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;6.0;0;1.6040287466501877;up;0;0.01;1;0.0;0
9.0;7.0;60.645468;59.71825166666667;330.2;82.07893538983937;-1.389006244671813;107.0;;86.8;0.549682838988756;;0.0238037109375;1.02734375;0.132568359375;Груженный движется вперед;32;75131;130;;;;;688.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;8.6;9.1;9.2;6.0;5.808879091655784;1.5770762924755295;-0.670646586536157;10.44;7.2;10.15;10.15;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
12.0;7.0;60.64546675;59.718259;330.25;87.05372526507728;-2.559490792189973;107.0;;86.8;0.6281636852980214;;0.046142578125;1.0242919921875;0.0472412109375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;700.0;32.0;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;7.3;7.9;6.3;7.8;6.046900264180767;1.536647611213542;-1.4476942113438227;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
13.0;8.0;60.645453708333335;59.71826229166666;331.8;85.09138546573399;-0.26930966055796;107.0;;86.8;0.5954530854567115;;0.00335693359375;1.04766845703125;0.06317138671875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;700.6666666666667;32.25;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;7.0;9.2;9.2;7.0;6.1262406550224275;1.523171384126213;-1.5866083178579635;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
14.0;10.0;60.64544466666667;59.718262;332.7;85.18040928750204;-2.8424215240679347;107.0;;86.8;0.6136149211263312;;0.0489501953125;1.04541015625;-0.00390625;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;704.0;33.5;696.0;29.0;712.0;28.0;696.0;31.0;/home/pi/adviser/route21;[];829;;;7.0;10.0;9.5;6.1;6.205581045864088;1.509695157038884;2.8100597922351733;7.2;10.44;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;1.536647611213542;1;0.0;0
17.0;12.0;60.64545558333333;59.71822425;330.2;79.09827639228358;1.300201899124987;107.0;;86.8;0.576388961551082;;-0.02569580078125;0.9970703125;0.18280029296875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;29.0;712.0;28.0;696.1764705882354;31.0;/home/pi/adviser/route21;[];829;;;10.2;8.0;8.9;6.4;6.443602218389071;1.4692664757768965;2.473193830869202;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
20.0;11.0;60.64547466666667;59.71819825;327.2;78.84216800312291;-2.2028564818156493;107.0;;86.4;0.7414885898902157;;0.04150390625;1.0286865234375;0.18988037109375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;29.035714285714285;712.0;28.0;697.2352941176471;31.0;/home/pi/adviser/route21;[];829;;;9.7;7.9;8.9;7.5;6.681623390914053;1.428837794514909;1.1763877460101897;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;1;0.01;1;0.0;0
